geonameid	name	latitude	longitude	cc	timezone
3184517	Patos Fshat	40.64278	19.65083	AL	Europe/Tirane
3184518	Patos	40.68333	19.61944	AL	Europe/Tirane
3184862	Lushnje	40.94194	19.705	AL	Europe/Tirane
3184935	Lezhe	41.78361	19.64361	AL	Europe/Tirane
3185012	Lac	41.63556	19.71306	AL	Europe/Tirane
3185082	Kruje	41.50917	19.79278	AL	Europe/Tirane
3185211	Kavaje	41.18556	19.55694	AL	Europe/Tirane
3185670	Fier-Cifci	40.71667	19.56667	AL	Europe/Tirane
3185672	Fier	40.72389	19.55611	AL	Europe/Tirane
3185728	Durres	41.32355	19.45469	AL	Europe/Tirane
3186084	Berat	40.70583	19.95222	AL	Europe/Tirane
174875	Kapan	39.20755	46.40576	AM	Asia/Yerevan
174895	Goris	39.51111	46.34168	AM	Asia/Yerevan
174972	Hats'avan	39.46405	45.97047	AM	Asia/Yerevan
174979	Artashat	39.96144	44.54447	AM	Asia/Yerevan
174991	Ararat	39.83069	44.70569	AM	Asia/Yerevan
616052	Yerevan	40.18111	44.51361	AM	Asia/Yerevan
616062	Vagharshapat	40.16557	44.29462	AM	Asia/Yerevan
616194	Stepanavan	41.00995	44.38531	AM	Asia/Yerevan
616199	Spitak	40.83221	44.26731	AM	Asia/Yerevan
616250	Sevan	40.5473	44.94171	AM	Asia/Yerevan
616435	Masis	40.06572	44.41913	AM	Asia/Yerevan
616530	Vanadzor	40.80456	44.4939	AM	Asia/Yerevan
616599	Gavar	40.35398	45.12386	AM	Asia/Yerevan
616629	Hrazdan	40.49748	44.7662	AM	Asia/Yerevan
616631	Armavir	40.15446	44.03815	AM	Asia/Yerevan
616635	Gyumri	40.7942	43.84528	AM	Asia/Yerevan
616785	Ch'arents'avan	40.40289	44.64447	AM	Asia/Yerevan
616877	Ashtarak	40.2991	44.36204	AM	Asia/Yerevan
617026	Abovyan	40.27368	44.63348	AM	Asia/Yerevan
145531	Saurimo	-9.66078	20.39155	AO	Africa/Luanda
145724	Lucapa	-8.41915	20.74466	AO	Africa/Luanda
145757	Dundo	-7.36643	20.81557	AO	Africa/Luanda
145778	Chitato	-7.3	20.73333	AO	Africa/Luanda
145872	Cassanguidi	-7.48367	21.30339	AO	Africa/Luanda
876130	Lumbala	-14.10165	21.43531	AO	Africa/Luanda
876177	Luau	-10.70727	22.22466	AO	Africa/Luanda
876482	Cazombo	-11.89355	22.9024	AO	Africa/Luanda
2236360	Nzagi	-8.38549	15.30126	AO	Africa/Luanda
2236568	Uige	-7.60874	15.06131	AO	Africa/Luanda
2236716	Tomboco	-6.80517	13.33017	AO	Africa/Luanda
2236967	Soyo	-6.1349	12.36894	AO	Africa/Luanda
2236991	Songo	-7.35207	14.84629	AO	Africa/Luanda
2237128	Sanza Pombo	-7.31473	16.0024	AO	Africa/Luanda
2239001	Ambrizette	-7.23116	12.8666	AO	Africa/Luanda
2239069	Negage	-7.75938	15.2722	AO	Africa/Luanda
2239076	N'dalatando	-9.29782	14.91162	AO	Africa/Luanda
2239149	Mussende	-9.95	14.8	AO	Africa/Luanda
